init,k,silhouette_score,min_cluster_size,type
Huang,2,0.32450889482048717,1078,Serum
Huang,3,0.3094386902355221,486,Serum
Huang,4,0.3785843254872235,384,Serum
Huang,5,0.39512022279132747,288,Serum
Huang,6,0.3775487842873231,145,Serum
Huang,7,0.369936383329973,115,Serum
Huang,8,0.3701972189910175,92,Serum
Huang,9,0.3592405404948488,84,Serum
Huang,10,0.36222586225095665,57,Serum
Cao,2,0.28736421755322084,771,Serum
Cao,3,0.3045923633049195,504,Serum
Cao,4,0.36655668191804014,440,Serum
Cao,5,0.3078773713923007,60,Serum
Cao,6,0.3029234161615426,60,Serum
Cao,7,0.3217697271257189,58,Serum
Cao,8,0.3498535801321552,78,Serum
Cao,9,0.3032016803770095,67,Serum
Cao,10,0.3121688810534176,67,Serum
Huang,2,0.364917983196791,1190,Moisturizer
Huang,3,0.29499305475586624,586,Moisturizer
Huang,4,0.36524929100402903,541,Moisturizer
Huang,5,0.3908970134946158,418,Moisturizer
Huang,6,0.3705938118320018,255,Moisturizer
Huang,7,0.35140992526690984,153,Moisturizer
Huang,8,0.37908804479999303,118,Moisturizer
Huang,9,0.3356324129056634,102,Moisturizer
Huang,10,0.33416283943160613,97,Moisturizer
Cao,2,0.3504897229590513,709,Moisturizer
Cao,3,0.2711254548421768,624,Moisturizer
Cao,4,0.33491510289740445,388,Moisturizer
Cao,5,0.18040152459825312,218,Moisturizer
Cao,6,0.24390674067435625,175,Moisturizer
Cao,7,0.3057414884691156,99,Moisturizer
Cao,8,0.26679622486301796,99,Moisturizer
Cao,9,0.34687682793812763,105,Moisturizer
Cao,10,0.308846767216672,104,Moisturizer
Huang,2,0.44383251728439316,577,Face Cleanser
Huang,3,0.4475560936237602,298,Face Cleanser
Huang,4,0.45665650580433875,245,Face Cleanser
Huang,5,0.35898408663381853,237,Face Cleanser
Huang,6,0.3558597595646386,154,Face Cleanser
Huang,7,0.3759532039173597,73,Face Cleanser
Huang,8,0.38603797626737557,86,Face Cleanser
Huang,9,0.40854296197260936,94,Face Cleanser
Huang,10,0.39646170721790724,32,Face Cleanser
Cao,2,0.448667270418387,505,Face Cleanser
Cao,3,0.342735698992763,220,Face Cleanser
Cao,4,0.29657773640104396,104,Face Cleanser
Cao,5,0.3965468001942807,103,Face Cleanser
Cao,6,0.35334261559117375,91,Face Cleanser
Cao,7,0.3594305938870716,17,Face Cleanser
Cao,8,0.36247822969955984,17,Face Cleanser
Cao,9,0.3448155762175939,17,Face Cleanser
Cao,10,0.3606983733122115,36,Face Cleanser
Huang,2,0.3100789751446317,489,Sunscreen
Huang,3,0.3691483982508894,319,Sunscreen
Huang,4,0.41534579807726113,189,Sunscreen
Huang,5,0.3448686466103018,168,Sunscreen
Huang,6,0.3641074287974702,121,Sunscreen
Huang,7,0.3771335913558459,107,Sunscreen
Huang,8,0.36661885821235596,30,Sunscreen
Huang,9,0.38780014919406713,62,Sunscreen
Huang,10,0.3665399492298186,54,Sunscreen
Cao,2,0.3658071124263303,278,Sunscreen
Cao,3,0.16684552671244018,136,Sunscreen
Cao,4,0.2674911527226104,134,Sunscreen
Cao,5,0.2980258187660371,164,Sunscreen
Cao,6,0.30769425722936994,92,Sunscreen
Cao,7,0.3010861283854367,16,Sunscreen
Cao,8,0.3562347926627383,69,Sunscreen
Cao,9,0.33531054560711915,69,Sunscreen
Cao,10,0.2646535299853088,15,Sunscreen
Huang,2,0.3987522288627799,421,Toner
Huang,3,0.39104696183078735,194,Toner
Huang,4,0.4166347750172644,149,Toner
Huang,5,0.3411332866057148,108,Toner
Huang,6,0.3443711118626517,89,Toner
Huang,7,0.3535269545817875,48,Toner
Huang,8,0.353495446775351,37,Toner
Huang,9,0.33814703904353166,51,Toner
Huang,10,0.350747634240903,37,Toner
Cao,2,0.369715961923799,267,Toner
Cao,3,0.37081576990942566,198,Toner
Cao,4,0.2416257334685987,92,Toner
Cao,5,0.35547655070992595,91,Toner
Cao,6,0.3738223887661399,84,Toner
Cao,7,0.2641543164239642,26,Toner
Cao,8,0.336440882828054,39,Toner
Cao,9,0.3428310586937112,38,Toner
Cao,10,0.3507770821945625,39,Toner
Huang,2,0.45851732191403255,243,Exfoliator
Huang,3,0.45037886864322707,98,Exfoliator
Huang,4,0.40131583610425103,101,Exfoliator
Huang,5,0.42231360689400366,66,Exfoliator
Huang,6,0.44907290635538805,37,Exfoliator
Huang,7,0.4809417573341771,25,Exfoliator
Huang,8,0.4783659988371524,28,Exfoliator
Huang,9,0.4476803262709585,20,Exfoliator
Huang,10,0.45336342632409204,9,Exfoliator
Cao,2,0.45851732191403255,243,Exfoliator
Cao,3,0.39939843032184164,61,Exfoliator
Cao,4,0.47151848613443986,67,Exfoliator
Cao,5,0.38705235955849826,61,Exfoliator
Cao,6,0.23391472960567183,19,Exfoliator
Cao,7,0.3683441721405345,22,Exfoliator
Cao,8,0.38552051331023063,21,Exfoliator
Cao,9,0.3562994405148371,5,Exfoliator
Cao,10,0.3491629351628359,4,Exfoliator
Huang,2,0.48959358559642063,173,Makeup Remover
Huang,3,0.4908331642962416,44,Makeup Remover
Huang,4,0.41873858672637543,50,Makeup Remover
Huang,5,0.460711011601939,43,Makeup Remover
Huang,6,0.47342924548109444,18,Makeup Remover
Huang,7,0.44045501296510225,19,Makeup Remover
Huang,8,0.48453115063486724,6,Makeup Remover
Huang,9,0.4746744334263814,20,Makeup Remover
Huang,10,0.5144276933359965,13,Makeup Remover
Cao,2,0.4624699846004031,55,Makeup Remover
Cao,3,0.4283667416710563,56,Makeup Remover
Cao,4,0.41990397089359494,38,Makeup Remover
Cao,5,0.526402998945969,26,Makeup Remover
Cao,6,0.4734177014369197,15,Makeup Remover
Cao,7,0.46037388060121537,6,Makeup Remover
Cao,8,0.438055709398211,6,Makeup Remover
Cao,9,0.43107740285542256,6,Makeup Remover
Cao,10,0.4337624647279659,6,Makeup Remover
